DOY,Date,theta01,theta2,theta3,theta4
148,5/28/13,0.283,0.26075,0.235666667,0.21904
157,6/6/13,0.158,0.187,0.19,0.18834
161,6/10/13,0.154,0.206,0.204333333,0.19165
163,6/12/13,0.107,0.18975,0.200666667,0.189
165,6/14/13,0.254,0.24375,0.216,0.19302
170,6/19/13,0.176,0.198,0.196333333,0.19298
172,6/21/13,0.237,0.2375,0.214333333,0.19465
176,6/25/13,0.106,0.1775,0.196666667,0.19732
178,6/27/13,0.253,0.2375,0.213666667,0.197
181,6/30/13,0.163,0.1835,0.190666667,0.19633
183,7/2/13,0.265,0.23925,0.210666667,0.19432
185,7/4/13,0.131,0.175,0.189,0.19398
190,7/9/13,0.189,0.1935,0.195,0.19999
192,7/11/13,0.138,0.212,0.219,0.20399
195,7/14/13,0.237,0.21675,0.203,0.20201
196,7/15/13,0.248,0.233,0.210333333,0.19932
198,7/17/13,0.275,0.2565,0.228666667,0.20668
199,7/18/13,0.231,0.22725,0.212666667,0.20334
204,7/23/13,0.158,0.19075,0.2,0.20365
206,7/25/13,0.279,0.25625,0.229,0.21068
209,7/28/13,0.238,0.2215,0.207,0.20267
211,7/30/13,0.234,0.2435,0.229333333,0.21137
213,8/1/13,0.228,0.22675,0.217333333,0.21169
218,8/6/13,0.244,0.2335,0.218,0.2087
220,8/8/13,0.278,0.2555,0.226,0.20602
223,8/11/13,0.181,0.1995,0.202,0.20401
225,8/13/13,0.275,0.257,0.227333333,0.20336
227,8/15/13,0.169,0.21725,0.219,0.20604
232,8/20/13,0.152,0.18825,0.197,0.19934
234,8/22/13,0.274,0.25375,0.227666667,0.20837
237,8/25/13,0.169,0.20425,0.207666667,0.20337
239,8/27/13,0.275,0.2545,0.225333333,0.20469
241,8/29/13,0.256,0.229,0.208,0.19969
247,9/4/13,0.146,0.17975,0.190666667,0.19535
249,9/6/13,0.249,0.245,0.219666667,0.19969
260,9/17/13,0.161,0.2255,0.23,0.2157
268,9/25/13,0.269,0.24625,0.218,0.20071
294,10/21/13,0.289,0.24075,0.203666667,0.18537
