Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012135	0	1.07	7.384	0.189146943	0	0	7.384	0.189146943	86.3812	400	10.2397	13.0954	13.73	10	1	-999	-999
2012135	0.5	1.07	6.6735	0.190610266	0	0	6.6735	0.190610266	86.3812	400	9.848925	13.02435	13.73	10	1	-999	-999
2012135	1	1.07	5.963	0.192073589	0	0	5.963	0.192073589	86.3702	400	9.37265	12.7823	13.54	10	1	-999	-999
2012135	1.5	1.52	5.7605	0.166098072	0	0	5.7605	0.166098072	86.3702	400	9.261275	12.76205	13.54	10	1	-999	-999
2012135	2	1.97	5.558	0.140122554	0	0	5.558	0.140122554	86.3471	400	9.0644	12.5708	13.35	10	1	-999	-999
2012135	2.5	1.22	4.8795	0.118506952	0	0	4.8795	0.118506952	86.3471	400	8.691225	12.50295	13.35	10	1	-999	-999
2012135	3	0.47	4.201	0.096891351	0	0	4.201	0.096891351	86.3422	400	8.23255	12.2641	13.16	10	1	-999	-999
2012135	3.5	0.38	3.995	0.086107593	0	0	3.995	0.086107593	86.3422	400	8.11925	12.2435	13.16	10	1	-999	-999
2012135	4	0.29	3.789	0.075323835	0	0	3.789	0.075323835	86.3417	400	7.92495	12.0609	12.98	10	1	-999	-999
2012135	4.5	0.275	3.3555	0.089544247	0	3.083333025	3.3555	0.089544247	86.3417	400	7.686525	12.01755	12.98	10	1	-999	-999
2012135	5	0.26	2.922	0.103764658	0	6.16666605	2.922	0.103764658	86.3354	400	7.3671	11.8122	12.8	10	1	-999	-999
2012135	5.5	0.19	3.443	0.17926781	0	95.03332383	3.443	0.17926781	86.3354	400	7.65365	11.8643	12.8	10	1	-999	-999
2012135	6	0.12	3.964	0.254770961	0	183.8999816	3.964	0.254770961	86.3701	400	7.8547	11.7454	12.61	10	1	-999	-999
2012135	6.5	0.31	6.007	0.42948599	0	371.1166296	6.007	0.42948599	86.3701	400	8.97835	11.9497	12.61	10	1	-999	-999
2012135	7	0.5	8.05	0.604201019	0	558.3332775	8.05	0.604201019	86.3992	400	10.012	11.974	12.41	10	1	-999	-999
2012135	7.5	0.61	10.07	0.794789883	0	771.6665895	10.07	0.794789883	86.3992	400	11.123	12.176	12.41	10	1	-999	-999
2012135	8	0.72	12.09	0.985378747	0	984.9999015	12.09	0.985378747	86.3996	400	12.1575	12.225	12.24	10	1	-999	-999
2012135	8.5	1.02	13.68	1.253571678	0	1162.999884	13.68	1.253571678	86.3996	400	13.032	12.384	12.24	10	1	-999	-999
2012135	9	1.32	15.27	1.52176461	0	1340.999866	15.27	1.52176461	86.3893	400	13.8795	12.489	12.18	10	1	-999	-999
2012135	9.5	1.33	16.885	1.652059956	0	1490.999851	16.885	1.652059956	86.3893	400	14.76775	12.6505	12.18	10	1	-999	-999
2012135	10	1.34	18.5	1.782355303	0	1640.999836	18.5	1.782355303	86.3402	400	15.701	12.902	12.28	10	1	-999	-999
2012135	10.5	1.175	19.28	2.000579095	0	1755.833158	19.28	2.000579095	86.3402	400	16.13	12.98	12.28	10	1	-999	-999
2012135	11	1.01	20.06	2.218802887	0	1870.66648	20.06	2.218802887	86.2915	400	16.694	13.328	12.58	10	1	-999	-999
2012135	11.5	1.06	21	2.369544147	0	1916.999808	21	2.369544147	86.2915	400	17.211	13.422	12.58	10	1	-999	-999
2012135	12	1.11	21.94	2.520285408	0	1963.333137	21.94	2.520285408	86.227	400	17.9665	13.993	13.11	10	1	-999	-999
2012135	12.5	1.34	22.655	2.599371146	0	1953.666471	22.655	2.599371146	86.227	400	18.35975	14.0645	13.11	10	1	-999	-999
2012135	13	1.57	23.37	2.678456883	0	1943.999806	23.37	2.678456883	86.1359	400	19.104	14.838	13.89	10	1	-999	-999
2012135	13.5	1.72	23.81	2.757416752	0	1875.166479	23.81	2.757416752	86.1359	400	19.346	14.882	13.89	10	1	-999	-999
2012135	14	1.87	24.25	2.836376621	0	1806.333153	24.25	2.836376621	86.0619	400	19.921	15.592	14.63	10	1	-999	-999
2012135	14.5	2.345	24.57	2.862083084	0	1687.166498	24.57	2.862083084	86.0619	400	20.097	15.624	14.63	10	1	-999	-999
2012135	15	2.82	24.89	2.887789547	0	1567.999843	24.89	2.887789547	85.9914	400	20.5565	16.223	15.26	10	1	-999	-999
2012135	15.5	2.595	25.05	2.896529142	0	1411.833192	25.05	2.896529142	85.9914	400	20.6445	16.239	15.26	10	1	-999	-999
2012135	16	2.37	25.21	2.905268738	0	1255.666541	25.21	2.905268738	85.9372	400	20.935	16.66	15.71	10	1	-999	-999
2012135	16.5	2.775	25.205	2.845755703	0	1061.833227	25.205	2.845755703	85.9372	400	20.93225	16.6595	15.71	10	1	-999	-999
2012135	17	3.18	25.2	2.786242667	0	867.9999132	25.2	2.786242667	85.9056	400	21.0555	16.911	15.99	10	1	-999	-999
2012135	17.5	3.02	24.905	2.584209983	0	687.9999312	24.905	2.584209983	85.9056	400	20.89325	16.8815	15.99	10	1	-999	-999
2012135	18	2.86	24.61	2.382177298	0	507.9999492	24.61	2.382177298	85.8896	400	20.7985	16.987	16.14	10	1	-999	-999
2012135	18.5	2.42	23.6	2.088038172	0	327.9666339	23.6	2.088038172	85.8896	400	20.243	16.886	16.14	10	1	-999	-999
2012135	19	1.98	22.59	1.793899047	0	147.9333185	22.59	1.793899047	85.8975	400	19.701	16.812	16.17	10	1	-999	-999
2012135	19.5	1.155	20.835	1.597495753	0	75.34999247	20.835	1.597495753	85.8975	400	18.73575	16.6365	16.17	10	1	-999	-999
2012135	20	0.33	19.08	1.401092459	0	2.76666639	19.08	1.401092459	85.9173	400	17.7435	16.407	16.11	10	1	-999	-999
2012135	20.5	0.185	17.695	1.22298369	0	1.383333195	17.695	1.22298369	85.9173	400	16.98175	16.2685	16.11	10	1	-999	-999
2012135	21	0.04	16.31	1.044874921	0	0	16.31	1.044874921	85.9587	400	16.157	16.004	15.97	10	1	-999	-999
2012135	21.5	0.09	15.13	0.941143215	0	0	15.13	0.941143215	85.9587	400	15.508	15.886	15.97	10	1	-999	-999
2012135	22	0.14	13.95	0.837411509	0	0	13.95	0.837411509	85.9906	400	14.7735	15.597	15.78	10	1	-999	-999
2012135	22.5	0.22	13.275	0.717002333	0	0.016666665	13.275	0.717002333	85.9906	400	14.40225	15.5295	15.78	10	1	-999	-999
2012135	23	0.3	12.6	0.596593157	0	0.03333333	12.6	0.596593157	85.9975	400	13.923	15.246	15.54	10	1	-999	-999
2012135	23.5	0.92	10.735	0.517157041	0	0.116666655	10.735	0.517157041	85.9975	400	12.89725	15.0595	15.54	10	1	-999	-999
2012136	0	1.54	8.87	0.437720924	0	0.19999998	8.87	0.437720924	86.0132	400	11.7635	14.657	15.3	10	1	-999	-999
2012136	0.5	1.415	7.9255	0.454191368	0	0.149999985	7.9255	0.454191368	86.0132	400	11.244025	14.56255	15.3	10	1	-999	-999
2012136	1	1.29	6.981	0.470661812	0	0.09999999	6.981	0.470661812	86.0031	400	10.61655	14.2521	15.06	10	1	-999	-999
2012136	1.5	1.655	6.9495	0.482403595	0	0.049999995	6.9495	0.482403595	86.0031	400	10.599225	14.24895	15.06	10	1	-999	-999
2012136	2	2.02	6.918	0.494145378	0	0	6.918	0.494145378	86.0018	400	10.4739	14.0298	14.82	10	1	-999	-999
2012136	2.5	2.085	6.6815	0.427493631	0	0	6.6815	0.427493631	86.0018	400	10.343825	14.00615	14.82	10	1	-999	-999
2012136	3	2.15	6.445	0.360841884	0	0	6.445	0.360841884	86.0254	400	10.10575	13.7665	14.58	10	1	-999	-999
2012136	3.5	1.87	5.7055	0.345116228	0	0	5.7055	0.345116228	86.0254	400	9.699025	13.69255	14.58	10	1	-999	-999
2012136	4	1.59	4.966	0.329390571	0	0	4.966	0.329390571	86.0506	400	9.1933	13.4206	14.36	10	1	-999	-999
2012136	4.5	0.93	4.8315	0.463814753	0	4.283332905	4.8315	0.463814753	86.0506	400	9.119325	13.40715	14.36	10	1	-999	-999
2012136	5	0.27	4.697	0.598238934	0	8.56666581	4.697	0.598238934	86.0828	400	8.94635	13.1957	14.14	10	1	-999	-999
2012136	5.5	0.88	6.3935	0.754176304	0	113.9833219	6.3935	0.754176304	86.0828	400	9.879425	13.36535	14.14	10	1	-999	-999
2012136	6	1.49	8.09	0.910113674	0	219.3999781	8.09	0.910113674	86.1494	400	10.718	13.346	13.93	10	1	-999	-999
2012136	6.5	1.615	10.43	1.192395853	0	407.5332926	10.43	1.192395853	86.1494	400	12.005	13.58	13.93	10	1	-999	-999
2012136	7	1.74	12.77	1.474678033	0	595.6666071	12.77	1.474678033	86.2277	400	13.1885	13.607	13.7	10	1	-999	-999
2012136	7.5	1.33	14.985	1.551821413	0	785.8332548	14.985	1.551821413	86.2277	400	14.40675	13.8285	13.7	10	1	-999	-999
2012136	8	0.92	17.2	1.628964792	0	975.9999024	17.2	1.628964792	86.2938	400	15.544	13.888	13.52	10	1	-999	-999
2012136	8.5	1.355	17.865	1.612318099	0	1160.166551	17.865	1.612318099	86.2938	400	15.90975	13.9545	13.52	10	1	-999	-999
2012136	9	1.79	18.53	1.595671405	0	1344.333199	18.53	1.595671405	86.3147	400	16.2485	13.967	13.46	10	1	-999	-999
2012136	9.5	1.805	19.065	1.772030426	0	1480.666519	19.065	1.772030426	86.3147	400	16.54275	14.0205	13.46	10	1	-999	-999
2012136	10	1.82	19.6	1.948389448	0	1616.999838	19.6	1.948389448	86.2978	400	16.9045	14.209	13.61	10	1	-999	-999
2012136	10.5	2.05	20.64	2.046030929	0	1720.999828	20.64	2.046030929	86.2978	400	17.4765	14.313	13.61	10	1	-999	-999
2012136	11	2.28	21.68	2.143672409	0	1824.999818	21.68	2.143672409	86.271	400	18.2105	14.741	13.97	10	1	-999	-999
2012136	11.5	2.02	22.26	2.339226254	0	1873.833146	22.26	2.339226254	86.271	400	18.5295	14.799	13.97	10	1	-999	-999
